WELL_ID,YEAR,HEAD
299-E13-10,1944,120.60041805
299-E13-10,1945,120.54827885
299-E13-10,1946,120.50431825
299-E13-10,1947,120.4758377
299-E13-10,1947.48757273101,120.4807358
299-E13-10,1948,120.5028763
299-E13-10,1949,120.55830765
299-E13-10,1950,120.6123886
299-E13-10,1951,120.79359435
299-E13-10,1952,121.0080643
299-E13-10,1953,121.08587645
299-E13-10,1954,121.11161805
299-E13-10,1955,121.13053895
299-E13-10,1956,121.1937485
299-E13-10,1957,121.77082825
299-E13-10,1958,122.73428725
299-E13-10,1958.48757273101,123.00774005
299-E13-10,1959,123.28364945
299-E13-10,1960,123.69792175
299-E13-10,1961,123.98145295
299-E13-10,1962,124.22346115
299-E13-10,1963,124.3752098
299-E13-10,1964,124.440773
299-E13-10,1965,124.65431595
299-E13-10,1966,124.7648697
299-E13-10,1967,124.74341585
299-E13-10,1968,125.03940585
299-E13-10,1969,125.26070405
299-E13-10,1970,125.05134585
299-E13-10,1971,124.9228249
299-E13-10,1972,124.8807564
299-E13-10,1973,124.7049942
299-E13-10,1974,124.49448015
299-E13-10,1975,124.34319305
299-E13-10,1976,124.24996185
299-E13-10,1977,124.2020607
299-E13-10,1978,124.1878281
299-E13-10,1979,124.1928024
299-E13-10,1980,124.0776482
299-E13-10,1981,124.0412674
299-E13-10,1982,124.0731125
299-E13-10,1983,124.1341324
299-E13-10,1983.48757273101,124.20196915
299-E13-10,1984,124.3091965
299-E13-10,1985,124.5609894
299-E13-10,1986,124.6670151
299-E13-10,1987,125.0757408
299-E13-10,1988,125.2500801
299-E13-10,1989,125.38841625
299-E13-10,1990,125.0515442
299-E13-10,1991,124.7016411
299-E13-10,1992,124.44104765
299-E13-10,1993,124.15217205
299-E13-10,1994,123.94412995
299-E13-10,1995,123.8383446
299-E13-10,1996,123.7540474
299-E13-10,1997,123.7858238
299-E13-10,1998,123.59188845
299-E13-10,1999,123.3479004
299-E13-10,2000,123.15010835
299-E13-10,2001,122.9849014
