WELL_ID,YEAR,HEAD
299-E13-10,1957.99589322382,122.44
299-E13-10,1958.23134839151,122.635
299-E13-10,1958.47775496235,122.626
299-E13-10,1958.93771389459,122.84
299-E13-10,1959.22245037645,122.949
299-E13-10,1959.49075975359,123.004
299-E13-10,1959.74264202601,123.202
299-E13-10,1959.98904859685,123.257
299-E13-10,1960.25735797399,123.321
299-E13-10,1960.50924024641,123.361
299-E13-10,1960.72553045859,123.461
299-E13-10,1960.95277207392,123.507
299-E13-10,1961.52224503765,123.583
299-E13-10,1961.95208761123,123.809
299-E13-10,1973.0212183436,124.473
299-E13-10,1973.33059548255,124.287
299-E13-10,1973.54414784394,124.062
299-E13-10,1973.61533196441,124.217
299-E13-10,1973.66461327858,124.239
299-E13-10,1973.69199178645,124.287
299-E13-10,1973.76865160849,124.153
299-E13-10,1973.79055441478,124.211
299-E13-10,1974.27515400411,123.995
299-E13-10,1974.52429842574,123.98
299-E13-10,1974.79534565366,124.041
299-E13-10,1975.28268309377,124.065
299-E13-10,1975.51266255989,123.97
299-E13-10,1975.92060232717,123.974
299-E13-10,1976.45448323066,123.906
299-E13-10,1976.9363449692,123.961
299-E13-10,1977.49760438056,123.98
299-E13-10,1977.93292265572,123.977
299-E13-10,1978.41478439425,123.992
299-E13-10,1978.9158110883,123.861
299-E13-10,1980.41615331964,123.867
299-E13-10,1981.41546885695,123.885
299-E13-10,1981.91649555099,123.94
299-E13-10,1982.9158110883,124.016
299-E13-10,1983.41409993155,123.855
299-E13-10,1983.9151266256,124.074
299-E13-10,1984.41615331964,123.885
299-E13-10,1984.91718001369,124.102
299-E13-10,1985.4674880219,124.454
299-E13-10,1985.96303901437,124.716
299-E13-10,1987.94250513347,124.536
299-E13-10,1988.43531827515,124.658
299-E13-10,1988.87063655031,124.725
299-E13-10,1988.9363449692,124.817
299-E13-10,1989.10882956879,124.853
299-E13-10,1989.14168377823,124.798
299-E13-10,1989.45653661875,124.67
299-E13-10,1989.53045859001,124.649
299-E13-10,1989.78234086242,124.603
299-E13-10,1989.94934976044,124.597
299-E13-10,1989.94934976044,124.591
299-E13-10,1990.11635865845,124.536
299-E13-10,1990.41204654346,124.417
299-E13-10,1990.46406570842,124.405
299-E13-10,1990.46406570842,124.387
299-E13-10,1990.6803559206,124.32
299-E13-10,1990.94318959617,124.256
299-E13-10,1991.42778918549,124.146
299-E13-10,1991.67693360712,124.234
299-E13-10,1991.92607802875,124.152
299-E13-10,1992.44353182752,123.985
299-E13-10,1992.92265571526,123.753
299-E13-10,1993.44558521561,123.725
299-E13-10,1993.91923340178,123.579
299-E13-10,1994.43942505133,123.661
299-E13-10,1995.44969199179,123.512
299-E13-10,1995.96988364134,123.46
299-E13-10,1996.48459958932,123.476
299-E13-10,1997.44558521561,123.262
299-E13-10,1997.44558521561,123.015
299-E13-10,1998.43942505133,123.162
299-E13-10,1999.18412046543,122.954
299-E13-10,2000.23545516769,122.878
299-E13-10,2001.19917864476,122.732
299-E13-10,2002.19849418207,122.479
299-E13-10,2003.21697467488,122.457
299-E13-10,2003.55646817248,122.43
299-E13-10,2004.22450376454,122.4
299-E13-10,2004.5749486653,122.357
299-E13-10,2005.23750855578,122.259
299-E13-10,2005.56878850103,122.254
299-E13-10,2007.21971252567,122.142
299-E13-10,2007.57563312799,122.095
299-E13-10,2008.23271731691,122.125
299-E13-10,2009.234770705,122.019
299-E13-10,2010.16016427105,121.909
299-E13-10,2011.23887748118,121.896
299-E13-10,2013.21834360027,121.847
299-E13-10,2014.23490759754,121.817
299-E13-10,2015.23184120465,121.811
299-E13-10,2016.21998631075,121.829
299-E16-1,1961.95482546201,123.861
299-E16-1,1962.15468856947,123.907
299-E16-1,1962.56810403833,123.971
299-E16-1,1965.62902121834,124.33
299-E16-1,1965.72484599589,124.333
299-E16-1,1965.80150581793,124.419
299-E16-1,1966.0205338809,124.367
299-E16-1,1966.1711156742,124.452
299-E16-1,1966.28062970568,124.33
299-E16-1,1966.38193018481,124.37
299-E16-1,1966.5325119781,124.333
299-E16-1,1966.83641341547,124.394
299-E16-1,1966.99247091034,124.431
299-E16-1,1967.23613963039,124.349
299-E16-1,1967.79739904175,124.388
299-E16-1,1968.2135523614,124.574
299-E16-1,1969.31143052704,124.839
299-E16-1,1971.7015742642,124.94
299-E16-1,1972.21629021218,124.632
299-E16-1,1972.52566735113,124.635
299-E16-1,1972.75564681725,124.702
299-E16-1,1973.33607118412,124.199
299-E16-1,1974.27515400411,124.717
299-E16-1,1975.92060232717,123.77
299-E16-1,1982.45037645448,124.203
299-E16-1,1982.52703627652,124.623
299-E16-1,1982.70499657769,124.352
299-E16-1,1982.76796714579,124.413
299-E16-1,1982.78165639973,124.474
299-E16-1,1982.7871321013,124.462
299-E16-1,1982.80082135524,124.154
299-E16-1,1982.81998631075,124.422
299-E16-1,1982.83641341547,124.431
299-E16-1,1982.85557837098,124.474
299-E16-1,1982.8720054757,124.501
299-E16-1,1982.87474332649,124.541
299-E16-1,1982.95414099932,124.523
299-E16-1,1983.04722792608,124.541
299-E16-1,1983.12388774812,124.562
299-E16-1,1983.21697467488,124.501
299-E16-1,1983.29637234771,124.514
299-E16-1,1983.38124572211,124.523
299-E16-1,1983.45242984257,124.501
299-E16-1,1983.53456536619,124.544
299-E16-1,1983.61943874059,124.541
299-E16-1,1983.70431211499,124.578
299-E16-1,1983.79466119097,124.626
299-E16-1,1983.871321013,124.77
299-E16-1,1983.95071868583,124.84
299-E16-1,1984.43531827515,125.498
299-E16-1,1984.43531827515,125.026
299-E16-1,1984.44900752909,125.519
299-E16-1,1984.44900752909,125.047
299-E16-1,1984.4681724846,125.537
299-E16-1,1984.4681724846,125.065
299-E16-1,1984.48733744011,125.522
299-E16-1,1984.48733744011,125.05
299-E16-1,1984.52566735113,125.58
299-E16-1,1984.52566735113,125.108
299-E16-1,1984.56125941136,125.629
299-E16-1,1984.56399726215,125.157
299-E16-1,1984.60232717317,125.16
299-E16-1,1984.6379192334,125.665
299-E16-1,1984.64065708419,125.193
299-E16-1,1984.67898699521,125.668
299-E16-1,1984.681724846,125.196
299-E16-1,1984.71457905544,125.684
299-E16-1,1984.72005475702,125.212
299-E16-1,1984.75564681725,125.193
299-E16-1,1984.79945242984,125.074
299-E16-1,1984.83504449008,125.065
299-E16-1,1984.88706365503,125.099
299-E16-1,1984.94729637235,125.209
